Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/CharlesMartinSmith08TIFF.jpg/220px-CharlesMartinSmith08TIFF.jpg),Charles Martin Smith,6.266666666666667,3,Alcon Entertainment,141796086,Dolphin Tale,6.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Lorene_Scafaria_Close-up_%2848749032293%29.jpg/220px-Lorene_Scafaria_Close-up_%2848749032293%29.jpg),Lorene Scafaria,6.433333333333334,3,Annapurna Pictures,141470527,Seeking a Friend for the End of the World,6.7
![](NA),Kevin Macdonald,6.78,5,Focus Features,140416797,The Last King of Scotland,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Jonathan_Frakes_%2853161131992%29.jpg/220px-Jonathan_Frakes_%2853161131992%29.jpg),Jonathan Frakes,5.875,4,Paramount Pictures,139692466,Star Trek: First Contact,7.6
![](NA),Michael Lehmann,6.116666666666666,6,Twentieth Century Fox,138627511,Heathers,7.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Daniel_Espinosa.jpg/220px-Daniel_Espinosa.jpg),Daniel Espinosa,6.625,4,Columbia Pictures,137013648,Snabba Cash,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Alex_Kendrick_2019_%28Me-riHIbnqI%29.jpg/220px-Alex_Kendrick_2019_%28Me-riHIbnqI%29.jpg),Alex Kendrick,6.666666666666667,3,FaithStep Films,136415447,Courageous,7
![](NA),Gérard Krawczyk,6.333333333333333,3,EuropaCorp,135289732,Wasabi,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Jean-Jacques_Annaud_par_Claude_Truong-Ngoc_f%C3%A9vrier_2015.jpg/220px-Jean-Jacques_Annaud_par_Claude_Truong-Ngoc_f%C3%A9vrier_2015.jpg),Jean-Jacques Annaud,7.4,5,Constantin Film,134354427,The Name of the Rose,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Paul_Haggis%2C_Canadian_Film_Centre%2C_2013-cropped.jpg/220px-Paul_Haggis%2C_Canadian_Film_Centre%2C_2013-cropped.jpg),Paul Haggis,7.1,4,Bob Yari Productions,133525263,Crash,7.7
![](NA),Michael Hoffman,6.62,5,Beacon Communications,130519545,The Emperor's Club,6.9
![](NA),Marcus Nispel,5.575,4,New Line Cinema,129880925,The Texas Chainsaw Massacre,6.2
